task,model,accuracy,precision,recall,f1_weighted,f1_macro
binary,ELECTRA,0.9933333333333333,0.9933996683250416,0.9933333333333333,0.9933166666666667,0.9924999999999999
binary,HYBRID_FUSION,0.9933333333333333,0.9933996683250416,0.9933333333333333,0.9933166666666667,0.9924999999999999
binary,RF,0.95,0.9507525083612041,0.95,0.9493870224440173,0.9427123779455385
