task,model,accuracy,precision,recall,f1_weighted,f1_macro,eval_rows,device
binary,ELECTRA,0.99,0.9900352781546811,0.99,0.989977443710577,0.9887443665554609,500,cpu
binary,LGBM,0.9566666666666667,0.9565510670962966,0.9566666666666667,0.9565013088630879,0.9510775729057062,1500,
binary,RF,0.9606666666666667,0.9608860590500641,0.9606666666666667,0.9603663029507838,0.9552704771502897,1500,
binary,XGB,0.96,0.9601128315142187,0.96,0.9597281493039227,0.9545838976704568,1500,
multiclass,ELECTRA,0.988,0.9879846852693056,0.988,0.9879161057768987,0.9858823104261555,500,cpu
multiclass,LGBM,0.9253333333333333,0.9251456467950093,0.9253333333333333,0.9237494192748863,0.8578127134955216,1500,
multiclass,RF,0.9366666666666666,0.9364326789453911,0.9366666666666666,0.9342744610920064,0.8785530564470467,1500,
multiclass,XGB,0.928,0.927758129072435,0.928,0.9261786622095672,0.8599917786663149,1500,
